Rk,Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,key
167,Neemias Queta,C,26,BOS,7,152,19.5,.767,.000,.559,8.4,35.3,21.5,4.2,0.3,3.6,12.4,14.1,,0.5,0.3,0.7,.230,,-1.4,2.5,1.2,0.1,neemias queta
168,Julius Randle,PF,31,MIN,12,400,10.6,.479,.238,.378,7.7,16.8,12.0,12.8,0.7,0.2,14.5,24.4,,-0.3,0.2,-0.1,-0.015,,-2.5,-1.4,-3.8,-0.2,julius randle
169,Austin Reaves,SG,27,LAL,6,221,12.6,.546,.385,.473,1.7,11.3,6.6,27.0,0.0,2.9,19.7,28.3,,0.0,0.1,0.0,.007,,0.0,-1.7,-1.7,0.0,austin reaves
170,Paul Reed,C,26,DET,9,86,33.6,.709,.119,.286,24.1,23.9,24.0,13.0,0.6,7.2,12.9,27.6,,0.4,0.1,0.5,.294,,7.1,2.2,9.3,0.2,paul reed
171,Naz Reid,C,26,MIN,12,323,14.6,.583,.451,.139,4.4,25.7,14.6,12.0,0.7,1.1,11.0,18.7,,0.3,0.3,0.6,.092,,0.4,1.7,2.1,0.3,naz reid
172,Jase Richardson,SG,20,ORL,1,3,83.4,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,0.0,0.0,0.0,.441,,57.5,12.6,70.1,0.1,jase richardson
173,Zaccharie Risacher,SF,20,ATL,3,23,12.2,.393,.357,.000,18.8,27.3,22.7,0.0,0.0,0.0,0.0,27.0,,0.0,0.0,0.0,-0.085,,-0.9,-6.0,-6.9,0.0,zaccharie risacher
174,Duncan Robinson,SG,31,DET,13,383,13.3,.632,.789,.158,1.2,8.0,4.6,12.2,2.3,0.8,9.6,15.4,,0.7,0.4,1.1,.138,,1.3,2.6,3.9,0.6,duncan robinson
175,Mitchell Robinson,C,27,NYK,18,251,18.6,.561,.000,1.115,23.1,22.8,22.9,3.8,1.4,4.6,9.4,15.0,,0.5,0.5,1.1,.202,,0.4,0.3,0.8,0.2,mitchell robinson
176,Marcus Sasser,PG,25,DET,6,61,14.3,.587,.609,.000,5.7,3.7,4.7,8.3,2.5,0.0,8.0,17.9,,0.1,0.1,0.1,.114,,1.0,1.4,2.4,0.1,marcus sasser
177,Baylor Scheierman,SG,25,BOS,7,99,13.9,.577,.808,.000,7.5,14.7,11.0,5.9,3.1,0.9,7.1,12.5,,0.1,0.2,0.3,.143,,0.0,2.9,2.9,0.1,baylor scheierman
178,Dennis SchrÃ¶der,PG,32,CLE,17,271,8.6,.497,.393,.286,1.7,9.2,5.4,23.3,1.1,1.0,20.2,19.2,,-0.1,0.1,0.0,-0.006,,-2.9,-0.7,-3.6,-0.1,dennis schrader
179,Alperen ÅengÃ¼n,C,23,HOU,6,232,19.9,.519,.081,.424,9.8,22.3,15.5,23.1,2.5,3.3,13.3,25.8,,0.2,0.4,0.6,.121,,1.5,1.6,3.1,0.3,alperen aengan
180,Landry Shamet,SG,28,NYK,19,310,10.0,.634,.709,.105,2.0,5.7,3.9,6.1,0.6,0.7,8.2,13.9,,0.5,0.4,0.8,.130,,-0.7,0.5,-0.2,0.1,landry shamet
181,Terrence Shannon Jr.,SG,25,MIN,9,203,11.3,.507,.340,.255,2.5,10.0,6.1,9.2,0.9,0.0,7.1,23.0,,0.1,0.1,0.1,.032,,-2.4,-0.2,-2.5,0.0,terrence shannon
182,Shaedon Sharpe,SG,22,POR,5,67,14.9,.480,.324,.235,4.7,9.1,6.7,8.3,1.5,2.7,0.0,24.2,,0.0,0.0,0.1,.042,,1.1,0.1,1.2,0.1,shaedon sharpe
183,Jamal Shead,PG,23,TOR,7,224,7.7,.466,.646,.092,1.5,5.7,3.6,21.6,2.2,0.5,17.1,15.6,,-0.1,0.1,0.0,-0.002,,-4.0,0.2,-3.8,-0.1,jamal shead
184,Reed Sheppard,SG,21,HOU,6,192,9.1,.407,.614,.045,0.6,3.4,1.8,25.2,3.5,2.5,11.8,23.4,,-0.3,0.3,-0.1,-0.017,,-2.1,0.6,-1.5,0.0,reed sheppard
185,Max Shulga,SG,23,BOS,2,5,14.5,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,,0.0,0.0,0.0,.162,,2.6,0.4,2.9,0.0,max shulga
186,Marcus Smart,SG,31,LAL,10,345,13.2,.547,.505,.434,3.6,8.6,6.2,23.0,3.6,2.7,22.9,20.2,,0.0,0.4,0.3,.048,,-1.1,2.8,1.8,0.3,marcus smart
187,Jabari Smith Jr.,PF,22,HOU,6,252,14.2,.544,.600,.306,5.1,20.0,11.9,7.4,1.2,1.5,5.9,17.9,,0.4,0.3,0.7,.127,,0.3,-0.1,0.2,0.1,jabari smith
188,Nick Smith Jr.,SG,21,LAL,6,18,23.0,.538,.500,.143,0.0,6.6,3.4,13.2,2.9,5.2,6.3,40.2,,0.0,0.0,0.0,.014,,6.3,0.3,6.5,0.0,nick smith
189,Tolu Smith,PF,25,DET,3,7,26.4,1.000,.000,.000,0.0,32.6,16.4,0.0,7.3,0.0,33.3,18.7,,0.0,0.0,0.0,.138,,3.2,6.7,9.9,0.0,tolu smith
190,Jeremy Sochan,PF,22,NYK,8,26,32.0,.799,.222,.889,4.7,16.9,11.2,12.9,1.9,4.0,7.4,22.8,,0.1,0.1,0.2,.374,,6.7,3.3,10.0,0.1,jeremy sochan
